0,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.5,6383,1984,https://www.amazon.com/1984-Signet-Classics-George-Orwell/dp/0451524934
1,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.5,2216,A Brief History of Time,https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168
2,16%,16%,16%,16%,16%,"['16%', '16%', '16%', '16%', '16%']",3.2,1103,A Heartbreaking Work of Staggering Genius,https://www.amazon.com/Heartbreaking-Work-Staggering-Genius/dp/0375725784
3,1%,1%,1%,1%,1%,"['1%', '1%', '1%', '1%', '1%']",4.6,1779,A Long Way Gone: Memoirs of a Boy Soldier,https://www.amazon.com/Long-Way-Gone-Memoirs-Soldier/dp/0374531269
4,6%,6%,6%,6%,6%,"['6%', '6%', '6%', '6%', '6%']",4.4,1756,"The Bad Beginning: Or, Orphans!",https://www.amazon.com/Bad-Beginning-Orphans-Unfortunate-Events/dp/0061146307
5,5%,5%,5%,5%,5%,"['5%', '5%', '5%', '5%', '5%']",4.5,3378,A Wrinkle in Time,https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367554
6,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.2,97,"Selected Stories, 1968-1994",https://www.amazon.com/Selected-Stories-1968-1994-Alice-Munro/dp/067976674X
7,6%,6%,6%,6%,6%,"['6%', '6%', '6%', '6%', '6%']",4.4,4790,Alice's Adventures in Wonderland & Through the Looking-Glass,https://www.amazon.com/Adventures-Wonderland-Through-Looking-Glass-Classics/dp/0553213458
8,3%,3%,3%,3%,3%,"['3%', '3%', '3%', '3%', '3%']",4.6,330,All the President's Men,https://www.amazon.com/All-Presidents-Men-Bob-Woodward/dp/0671894412
9,4%,4%,4%,4%,4%,"['4%', '4%', '4%', '4%', '4%']",4.4,2358,Angela's Ashes: A Memoir,https://www.amazon.com/Angelas-Ashes-Memoir-Frank-McCourt/dp/068484267X
10,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.7,1031,"Are You There God? It's Me, Margaret.",https://www.amazon.com/Are-You-There-God-Margaret/dp/0385739869
11,7%,7%,7%,7%,7%,"['7%', '7%', '7%', '7%', '7%']",4.1,1572,Bel Canto,https://www.amazon.com/Bel-Canto-P-S-Ann-Patchett/dp/0061565318
12,10%,10%,10%,10%,10%,"['10%', '10%', '10%', '10%', '10%']",4.2,1032,Beloved,https://www.amazon.com/Beloved-Toni-Morrison/dp/1400033411
13,1%,1%,1%,1%,1%,"['1%', '1%', '1%', '1%', '1%']",4.7,3804,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",https://www.amazon.com/Born-Run-Hidden-Superathletes-Greatest/dp/0307279189
14,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.2,289,"Breath, Eyes, Memory",https://www.amazon.com/Breath-Eyes-Memory-Oprahs-Book/dp/037570504X
15,6%,6%,6%,6%,6%,"['6%', '6%', '6%', '6%', '6%']",4.3,1682,Catch-22: 50th Anniversary Edition,https://www.amazon.com/Catch-22-50th-Anniversary-Joseph-Heller/dp/1451626657
16,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.7,1271,Charlie and the Chocolate Factory,https://www.amazon.com/Charlie-Chocolate-Factory-Roald-Dahl/dp/0375815260
17,2%,2%,2%,2%,2%,"['2%', '2%', '2%', '2%', '2%']",4.8,1758,Charlotte's Web,https://www.amazon.com/Charlottes-Web-B-White/dp/0061124958
