1_star_a,2_star_a,3_star_a,4_star_a,5_star_a,overall_rating_a,total_rating_number_a,title,url_a,1_star_g,2_star_g,3_star_g,4_star_g,5_star_g,overall_rating_g,total_rating_number_g,goodreads_id,url_g
3,3,7,17,70,4.5,6389,1984,https://www.amazon.com/1984-Signet-Classics-George-Orwell/dp/0451524934,2,4,15,33,45,4.16,2352493,40961427,https://www.amazon.com/1984-Signet-Classics-George-Orwell/dp/0451524934
3,4,8,20,65,4.5,2217,A Brief History of Time,https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168,1,3,16,38,41,4.15,212389,3869,https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168
16,14,15,19,36,3.2,1104,A Heartbreaking Work of Staggering Genius,https://www.amazon.com/Heartbreaking-Work-Staggering-Genius/dp/0375725784,5,10,23,33,27,3.68,156244,4953,https://www.amazon.com/Heartbreaking-Work-Staggering-Genius/dp/0375725784
1,1,6,22,70,4.6,1779,A Long Way Gone: Memoirs of a Boy Soldier,https://www.amazon.com/Long-Way-Gone-Memoirs-Soldier/dp/0374531269,1,3,16,37,41,4.15,138691,43015,https://www.amazon.com/Long-Way-Gone-Memoirs-Soldier/dp/0374531269
6,3,6,23,62,4.4,1756,"The Bad Beginning: Or, Orphans!",https://www.amazon.com/Bad-Beginning-Orphans-Unfortunate-Events/dp/0061146307,2,6,23,34,33,3.91,322440,78411,https://www.amazon.com/Bad-Beginning-Orphans-Unfortunate-Events/dp/0061146307
5,4,9,16,66,4.5,3380,A Wrinkle in Time,https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367554,2,5,18,32,40,4.02,782356,33574273,https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367554
2,11,11,14,62,4.2,97,"Selected Stories, 1968-1994",https://www.amazon.com/Selected-Stories-1968-1994-Alice-Munro/dp/067976674X,0,3,12,27,56,4.36,80,25194123,https://www.amazon.com/Selected-Stories-1968-1994-Alice-Munro/dp/067976674X
6,3,8,16,67,4.4,4790,Alice's Adventures in Wonderland & Through the Looking-Glass,https://www.amazon.com/Adventures-Wonderland-Through-Looking-Glass-Classics/dp/0553213458,2,5,20,32,39,4.0,129520,6324090,https://www.amazon.com/Adventures-Wonderland-Through-Looking-Glass-Classics/dp/0553213458
3,2,3,17,75,4.6,330,All the President's Men,https://www.amazon.com/All-Presidents-Men-Bob-Woodward/dp/0671894412,1,2,15,38,42,4.18,38781,96123,https://www.amazon.com/All-Presidents-Men-Bob-Woodward/dp/0671894412
4,3,6,18,69,4.4,2358,Angela's Ashes: A Memoir,https://www.amazon.com/Angelas-Ashes-Memoir-Frank-McCourt/dp/068484267X,1,4,17,36,39,4.08,459187,252577,https://www.amazon.com/Angelas-Ashes-Memoir-Frank-McCourt/dp/068484267X
2,2,6,15,75,4.7,1032,"Are You There God? It's Me, Margaret.",https://www.amazon.com/Are-You-There-God-Margaret/dp/0385739869,2,6,24,34,32,3.89,169548,37732,https://www.amazon.com/Are-You-There-God-Margaret/dp/0385739869
7,9,11,24,49,4.1,1572,Bel Canto,https://www.amazon.com/Bel-Canto-P-S-Ann-Patchett/dp/0061565318,2,6,21,35,34,3.93,213545,5826,https://www.amazon.com/Bel-Canto-P-S-Ann-Patchett/dp/0061565318
10,7,12,18,53,4.2,1032,Beloved,https://www.amazon.com/Beloved-Toni-Morrison/dp/1400033411,4,8,21,32,32,3.79,264847,6149,https://www.amazon.com/Beloved-Toni-Morrison/dp/1400033411
1,2,4,14,79,4.7,3806,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",https://www.amazon.com/Born-Run-Hidden-Superathletes-Greatest/dp/0307279189,1,2,12,34,49,4.28,134235,6289283,https://www.amazon.com/Born-Run-Hidden-Superathletes-Greatest/dp/0307279189
2,9,14,29,46,4.2,289,"Breath, Eyes, Memory",https://www.amazon.com/Breath-Eyes-Memory-Oprahs-Book/dp/037570504X,1,5,25,38,28,3.87,24349,5186,https://www.amazon.com/Breath-Eyes-Memory-Oprahs-Book/dp/037570504X
6,4,7,18,65,4.3,1683,Catch-22: 50th Anniversary Edition,https://www.amazon.com/Catch-22-50th-Anniversary-Joseph-Heller/dp/1451626657,2,5,20,36,35,3.98,1295866,36564108,https://www.amazon.com/Catch-22-50th-Anniversary-Joseph-Heller/dp/1451626657
2,1,2,15,80,4.7,1271,Charlie and the Chocolate Factory,https://www.amazon.com/Charlie-Chocolate-Factory-Roald-Dahl/dp/0375815260,1,3,18,35,41,4.12,544133,6310,https://www.amazon.com/Charlie-Chocolate-Factory-Roald-Dahl/dp/0375815260
